2026-03-16 15:03:47 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:12.456], [00:12.664 -> 00:22.824], [00:23.160 -> 00:24.520], [00:24.920 -> 00:27.048]
2026-03-16 15:03:47 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:03:48 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 6: 0.97s inference, 13 segments, speech: 26.1/30.0s
2026-03-16 15:04:12 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:04:12 | INFO     | faster_whisper:895 | VAD filter removed 00:23.480 of audio
2026-03-16 15:04:12 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:02.056], [00:25.176 -> 00:29.640]
2026-03-16 15:04:12 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:04:12 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 7: 0.51s inference, 1 segments, speech: 6.5/30.0s
2026-03-16 15:04:12 | DEBUG    | whisper_transcriber.stt.chunk_merger:66 | Held back boundary segment: '¿Algo más, Kike? No te disculpo, pero bu' [175.0-204.4]
2026-03-16 15:04:37 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:04:37 | INFO     | faster_whisper:895 | VAD filter removed 00:05.328 of audio
2026-03-16 15:04:37 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.152 -> 00:04.648], [00:04.792 -> 00:06.312], [00:06.808 -> 00:07.624], [00:11.224 -> 00:29.064]
2026-03-16 15:04:37 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:04:37 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 8: 0.67s inference, 11 segments, speech: 24.7/30.0s
2026-03-16 15:04:37 | INFO     | whisper_transcriber.stt.chunk_merger:92 | Merged boundary segment: '¿Algo más, Kike? No te disculpo, pero bueno, te lo acepto. d' [175.0-206.0]
2026-03-16 15:05:02 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:05:02 | INFO     | faster_whisper:895 | VAD filter removed 00:01.888 of audio
2026-03-16 15:05:02 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:04.072], [00:04.600 -> 00:20.072], [00:20.504 -> 00:21.256], [00:21.720 -> 00:25.096], [00:25.560 -> 00:30.000]
2026-03-16 15:05:02 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:05:02 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 9: 0.70s inference, 3 segments, speech: 28.1/30.0s
2026-03-16 15:05:27 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:05:27 | INFO     | faster_whisper:895 | VAD filter removed 00:02.584 of audio
2026-03-16 15:05:27 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.568 -> 00:06.824], [00:07.928 -> 00:08.648], [00:08.888 -> 00:18.632], [00:18.808 -> 00:24.392], [00:24.888 -> 00:30.000]
2026-03-16 15:05:27 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:05:27 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 10: 0.69s inference, 8 segments, speech: 27.4/30.0s
2026-03-16 15:05:52 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:05:52 | INFO     | faster_whisper:895 | VAD filter removed 00:07.472 of audio
2026-03-16 15:05:52 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:12.200], [00:12.504 -> 00:15.080], [00:15.512 -> 00:16.776], [00:17.464 -> 00:18.376], [00:19.576 -> 00:20.552], [00:25.400 -> 00:30.000]
2026-03-16 15:05:52 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:05:53 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 11: 0.88s inference, 11 segments, speech: 22.5/30.0s
2026-03-16 15:06:17 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:06:17 | INFO     | faster_whisper:895 | VAD filter removed 00:00.976 of audio
2026-03-16 15:06:17 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:09.832], [00:10.072 -> 00:12.392], [00:12.568 -> 00:27.944], [00:28.504 -> 00:30.000]
2026-03-16 15:06:17 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:06:17 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 12: 0.64s inference, 1 segments, speech: 29.0/30.0s
2026-03-16 15:06:42 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:06:42 | INFO     | faster_whisper:895 | VAD filter removed 00:02.800 of audio
2026-03-16 15:06:42 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:02.952], [00:03.512 -> 00:04.776], [00:05.400 -> 00:15.400], [00:16.088 -> 00:16.744], [00:17.400 -> 00:26.504], [00:26.776 -> 00:30.000]
2026-03-16 15:06:42 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:06:43 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 13: 0.76s inference, 6 segments, speech: 27.2/30.0s
2026-03-16 15:07:07 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:07:07 | INFO     | faster_whisper:895 | VAD filter removed 00:03.576 of audio
2026-03-16 15:07:07 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:01.512], [00:01.752 -> 00:04.968], [00:05.496 -> 00:10.664], [00:11.256 -> 00:13.800], [00:14.072 -> 00:17.160], [00:17.336 -> 00:23.784], [00:24.376 -> 00:27.496], [00:27.864 -> 00:29.192]
2026-03-16 15:07:07 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:07:08 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 14: 0.80s inference, 6 segments, speech: 26.4/30.0s
2026-03-16 15:07:32 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:07:32 | INFO     | faster_whisper:895 | VAD filter removed 00:04.864 of audio
2026-03-16 15:07:32 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:02.504], [00:02.872 -> 00:04.200], [00:04.696 -> 00:05.896], [00:07.032 -> 00:09.768], [00:10.808 -> 00:12.744], [00:13.176 -> 00:18.280], [00:18.424 -> 00:20.296], [00:21.080 -> 00:25.576], [00:26.040 -> 00:30.000]
2026-03-16 15:07:32 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:07:32 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 15: 0.61s inference, 12 segments, speech: 25.1/30.0s
2026-03-16 15:07:57 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:07:57 | INFO     | faster_whisper:895 | VAD filter removed 00:03.776 of audio
2026-03-16 15:07:57 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:00.584], [00:01.048 -> 00:06.504], [00:07.160 -> 00:16.392], [00:17.080 -> 00:19.624], [00:20.760 -> 00:25.000], [00:25.400 -> 00:26.408], [00:26.840 -> 00:30.000]
2026-03-16 15:07:57 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:07:58 | DEBUG    | faster_whisper:1183 | Processing segment at 00:26.100
2026-03-16 15:07:58 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 16: 0.98s inference, 15 segments, speech: 26.2/30.0s
2026-03-16 15:08:22 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:08:22 | INFO     | faster_whisper:895 | VAD filter removed 00:04.200 of audio
2026-03-16 15:08:22 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.408 -> 00:01.416], [00:01.880 -> 00:07.176], [00:08.760 -> 00:13.928], [00:14.488 -> 00:18.184], [00:18.648 -> 00:21.896], [00:22.104 -> 00:23.144], [00:23.416 -> 00:27.336], [00:27.576 -> 00:30.000]
2026-03-16 15:08:22 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:08:23 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 17: 0.75s inference, 13 segments, speech: 25.8/30.0s
2026-03-16 15:08:47 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:08:47 | INFO     | faster_whisper:895 | VAD filter removed 00:06.000 of audio
2026-03-16 15:08:47 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:02.344], [00:02.584 -> 00:08.040], [00:10.648 -> 00:13.224], [00:13.752 -> 00:15.336], [00:15.544 -> 00:22.152], [00:22.392 -> 00:23.880], [00:24.440 -> 00:26.792], [00:28.408 -> 00:30.000]
2026-03-16 15:08:47 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:08:47 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 18: 0.73s inference, 11 segments, speech: 24.0/30.0s
2026-03-16 15:09:12 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:09:12 | INFO     | faster_whisper:895 | VAD filter removed 00:06.264 of audio
2026-03-16 15:09:12 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.088 -> 00:01.800], [00:03.384 -> 00:06.760], [00:06.936 -> 00:10.312], [00:10.904 -> 00:14.120], [00:14.360 -> 00:16.584], [00:17.592 -> 00:19.944], [00:20.664 -> 00:25.928], [00:26.232 -> 00:27.304], [00:28.856 -> 00:30.000]
2026-03-16 15:09:12 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:09:13 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 19: 0.91s inference, 13 segments, speech: 23.7/30.0s
2026-03-16 15:09:37 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:09:37 | INFO     | faster_whisper:895 | VAD filter removed 00:13.968 of audio
2026-03-16 15:09:37 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:00.936], [00:01.208 -> 00:02.312], [00:03.864 -> 00:04.904], [00:12.120 -> 00:13.160], [00:14.552 -> 00:15.784], [00:16.600 -> 00:19.240], [00:20.408 -> 00:24.104], [00:25.656 -> 00:30.000]
2026-03-16 15:09:37 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:09:37 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 20: 0.58s inference, 8 segments, speech: 16.0/30.0s
2026-03-16 15:10:02 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:10:02 | INFO     | faster_whisper:895 | VAD filter removed 00:02.008 of audio
2026-03-16 15:10:02 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.696 -> 00:05.000], [00:05.400 -> 00:08.424], [00:08.696 -> 00:15.688], [00:15.928 -> 00:29.096], [00:29.496 -> 00:30.000]
2026-03-16 15:10:02 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:10:02 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 21: 0.64s inference, 4 segments, speech: 28.0/30.0s
2026-03-16 15:10:02 | DEBUG    | whisper_transcriber.stt.chunk_merger:66 | Held back boundary segment: 'También mi idea es ahí, fui creando comp' [549.4-555.1]
2026-03-16 15:10:27 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:10:27 | INFO     | faster_whisper:895 | VAD filter removed 00:05.104 of audio
2026-03-16 15:10:27 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:04.104], [00:04.504 -> 00:11.112], [00:12.248 -> 00:15.880], [00:16.376 -> 00:17.608], [00:20.344 -> 00:21.288], [00:21.624 -> 00:30.000]
2026-03-16 15:10:27 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:10:27 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 22: 0.77s inference, 13 segments, speech: 24.9/30.0s
2026-03-16 15:10:27 | INFO     | whisper_transcriber.stt.chunk_merger:92 | Merged boundary segment: 'También mi idea es ahí, fui creando componentes genéricos pa' [549.4-556.1]
2026-03-16 15:10:52 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:10:52 | INFO     | faster_whisper:895 | VAD filter removed 00:06.168 of audio
2026-03-16 15:10:52 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:06.376], [00:06.872 -> 00:10.056], [00:10.200 -> 00:17.480], [00:17.752 -> 00:20.968], [00:21.208 -> 00:22.824], [00:23.864 -> 00:26.024]
2026-03-16 15:10:52 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:10:52 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 23: 0.66s inference, 8 segments, speech: 23.8/30.0s
2026-03-16 15:11:17 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:11:17 | INFO     | faster_whisper:895 | VAD filter removed 00:10.392 of audio
2026-03-16 15:11:17 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:01.032], [00:04.664 -> 00:07.048], [00:07.608 -> 00:09.000], [00:09.624 -> 00:11.016], [00:11.864 -> 00:17.896], [00:19.992 -> 00:20.648], [00:21.496 -> 00:24.040], [00:24.888 -> 00:29.064]
2026-03-16 15:11:17 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:11:17 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 24: 0.64s inference, 8 segments, speech: 19.6/30.0s
2026-03-16 15:11:42 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:11:42 | INFO     | faster_whisper:895 | VAD filter removed 00:03.456 of audio
2026-03-16 15:11:42 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:04.072], [00:04.696 -> 00:05.768], [00:05.944 -> 00:09.064], [00:09.688 -> 00:14.152], [00:14.584 -> 00:17.512], [00:17.944 -> 00:22.536], [00:22.680 -> 00:25.128], [00:25.848 -> 00:26.984], [00:27.288 -> 00:30.000]
2026-03-16 15:11:42 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:11:42 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 25: 0.50s inference, 7 segments, speech: 26.5/30.0s
2026-03-16 15:12:07 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:12:07 | INFO     | faster_whisper:895 | VAD filter removed 00:03.848 of audio
2026-03-16 15:12:07 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.856 -> 00:01.960], [00:02.264 -> 00:09.224], [00:09.912 -> 00:13.416], [00:14.456 -> 00:21.320], [00:21.816 -> 00:26.152], [00:26.616 -> 00:30.000]
2026-03-16 15:12:07 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:12:07 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 26: 0.61s inference, 14 segments, speech: 26.2/30.0s
2026-03-16 15:12:32 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:12:32 | INFO     | faster_whisper:895 | VAD filter removed 00:02.024 of audio
2026-03-16 15:12:32 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.024 -> 00:01.160], [00:01.592 -> 00:07.688], [00:08.184 -> 00:10.184], [00:10.360 -> 00:11.464], [00:12.216 -> 00:17.864], [00:18.008 -> 00:30.000]
2026-03-16 15:12:32 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:12:33 | DEBUG    | faster_whisper:1183 | Processing segment at 00:27.760
2026-03-16 15:12:33 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 27: 1.08s inference, 15 segments, speech: 28.0/30.0s
2026-03-16 15:12:57 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:12:57 | INFO     | faster_whisper:895 | VAD filter removed 00:01.120 of audio
2026-03-16 15:12:57 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:10.408], [00:10.552 -> 00:20.008], [00:20.184 -> 00:22.440], [00:22.968 -> 00:25.224], [00:25.496 -> 00:30.000]
2026-03-16 15:12:57 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:12:58 | DEBUG    | faster_whisper:1183 | Processing segment at 00:28.800
2026-03-16 15:12:58 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 28: 1.09s inference, 16 segments, speech: 28.9/30.0s
2026-03-16 15:13:22 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:13:22 | INFO     | faster_whisper:895 | VAD filter removed 00:03.032 of audio
2026-03-16 15:13:22 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.504 -> 00:10.088], [00:11.096 -> 00:17.000], [00:17.432 -> 00:23.560], [00:24.440 -> 00:25.672], [00:25.880 -> 00:30.000]
2026-03-16 15:13:22 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:13:23 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 29: 0.81s inference, 3 segments, speech: 27.0/30.0s
2026-03-16 15:13:23 | DEBUG    | whisper_transcriber.stt.chunk_merger:66 | Held back boundary segment: 'Después con lo otro, yo le pasé pila de ' [745.1-755.0]
2026-03-16 15:13:47 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:13:47 | INFO     | faster_whisper:895 | VAD filter removed 00:01.104 of audio
2026-03-16 15:13:47 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:00.680], [00:00.856 -> 00:15.656], [00:16.376 -> 00:26.888], [00:27.096 -> 00:30.000]
2026-03-16 15:13:47 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:13:48 | DEBUG    | faster_whisper:1183 | Processing segment at 00:28.880
2026-03-16 15:13:48 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 30: 1.11s inference, 15 segments, speech: 28.9/30.0s
2026-03-16 15:13:48 | INFO     | whisper_transcriber.stt.chunk_merger:92 | Merged boundary segment: 'Después con lo otro, yo le pasé pila de tareas a Santi. Nada' [745.1-757.1]
2026-03-16 15:14:12 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:14:12 | INFO     | faster_whisper:895 | VAD filter removed 00:01.688 of audio
2026-03-16 15:14:12 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.056 -> 00:01.896], [00:02.104 -> 00:07.048], [00:07.320 -> 00:08.008], [00:08.440 -> 00:12.712], [00:12.920 -> 00:19.560], [00:19.928 -> 00:26.152], [00:26.296 -> 00:30.000]
2026-03-16 15:14:12 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:14:12 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 31: 0.64s inference, 7 segments, speech: 28.3/30.0s
2026-03-16 15:14:37 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:14:37 | INFO     | faster_whisper:895 | VAD filter removed 00:02.112 of audio
2026-03-16 15:14:37 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:08.840], [00:09.048 -> 00:17.352], [00:17.880 -> 00:20.424], [00:20.824 -> 00:22.568], [00:23.192 -> 00:24.360], [00:24.504 -> 00:28.776], [00:28.984 -> 00:30.000]
2026-03-16 15:14:37 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:14:37 | DEBUG    | faster_whisper:1183 | Processing segment at 00:23.640
2026-03-16 15:14:38 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 32: 0.80s inference, 6 segments, speech: 27.9/30.0s
2026-03-16 15:15:02 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:15:02 | INFO     | faster_whisper:895 | VAD filter removed 00:00.384 of audio
2026-03-16 15:15:02 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:03.784], [00:03.992 -> 00:05.864], [00:06.040 -> 00:30.000]
2026-03-16 15:15:02 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:15:03 | DEBUG    | faster_whisper:1183 | Processing segment at 00:29.400
2026-03-16 15:15:03 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 33: 1.28s inference, 34 segments, speech: 29.6/30.0s
2026-03-16 15:15:27 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:15:27 | INFO     | faster_whisper:895 | VAD filter removed 00:02.880 of audio
